lambda,max_corr,delta_mean,delta_end,delta_min,corr_mean,bmc_mean,payout_mean
0.16999999999999998,0.9810599212132288,-0.00016596310306119525,-0.02589024407754646,-0.06966511831405126,0.032467754417461255,0.0014232635033005806,0.026840151563737764
0.175,0.9797578898334013,-0.00019761618303607787,-0.030828124553628142,-0.07351080674387384,0.032436101337486374,0.0014656763100002052,0.026875710822879803
0.18,0.9784009083088497,-0.00023269920001769607,-0.03630107520276059,-0.07764862270690154,0.03240101832050475,0.001504026235590303,0.026901953845759934
0.18499999999999997,0.9769879601067922,-0.000269565387289599,-0.04205220041717741,-0.08153224663538966,0.03236415213323285,0.0015429740590721353,0.026919619584390438
0.18999999999999997,0.9755176940358941,-0.000298609376422221,-0.04658306272186651,-0.08577928822107264,0.032335108144100226,0.0015843832414022476,0.026950542902880823
0.19499999999999998,0.9739889831358872,-0.0003324658746577047,-0.05186467644660191,-0.08943604509984987,0.03230125164586474,0.0016253203161549312,0.026975272958254005
0.19999999999999998,0.9724020150123432,-0.00037852470552802346,-0.05904985406237169,-0.09344250991277699,0.03225519281499443,0.0016614851857205638,0.0269798200933462
0.205,0.9707511780077835,-0.0004204722476189999,-0.065593670628564,-0.0976865430638122,0.032213245272903444,0.001701056676195376,0.026993925522449762
0.20999999999999996,0.9690392326496734,-0.00046111455381471126,-0.07193387039509494,-0.10121366013655278,0.03217260296670774,0.00174203038986301,0.02701274396946305
0.21499999999999997,0.9672626178847133,-0.0005069900506792072,-0.07909044790595629,-0.10612579884750403,0.03212672746984324,0.0017808306425612212,0.02701424794892711
0.21999999999999997,0.9654221244710668,-0.0005543972246255517,-0.08648596704158609,-0.1106524035852326,0.0320793202958969,0.0018182733231669173,0.02701892539162534
0.22499999999999998,0.9635154508376984,-0.0006001162892209513,-0.09361814111846835,-0.11617765529129968,0.032033601231301494,0.0018587605682941466,0.02702285348075794
0.22999999999999998,0.9615376018225649,-0.0006444058241307393,-0.1005273085643954,-0.12254389817133414,0.03198931169639171,0.0019009629099542554,0.02703792478640455
0.235,0.9594922617415169,-0.000703523412286266,-0.10974965231665751,-0.131276744406698,0.031930194108236186,0.0019354812686043271,0.027025238632818863
0.23999999999999996,0.9573766932364456,-0.0007470427201127944,-0.11653866433759594,-0.13750241306957237,0.03188667480040965,0.0019803548104690826,0.027034504873827723
0.24499999999999997,0.9551874518080854,-0.0007971209709706337,-0.12435087147141881,-0.14410944992902608,0.03183659654955182,0.0020200974020905195,0.0270353271178604
0.24999999999999997,0.9529289455725521,-0.0008449508730784003,-0.13181233620023045,-0.1513132513317363,0.031788766647444046,0.0020635060804807493,0.02704857109389237
0.25499999999999995,0.9505842421626147,-0.0009012481309433635,-0.14059470842716465,-0.15943604612334644,0.031732469389579084,0.002102756492713187,0.02704981967641757
0.25999999999999995,0.9481706265486132,-0.0009537492463470032,-0.14878488243013252,-0.16689295894351489,0.03167996827417544,0.002143299877374111,0.027046187792950364
0.26499999999999996,0.9456774876427493,-0.0010098707978682708,-0.15753984446745023,-0.1750444682342333,0.03162384672265418,0.002184860015399693,0.02704377580074867
0.26999999999999996,0.9431029450038639,-0.0010660910154878115,-0.1663101984160985,-0.18308664803353486,0.031567626505034634,0.002226702782912156,0.02704066163319368
0.27499999999999997,0.9404467220654725,-0.0011140578859813342,-0.17379303021308817,-0.19023613379648624,0.03151965963454111,0.00227367695940519,0.027049388139675567
0.27999999999999997,0.9377045123901732,-0.0011746036967047976,-0.18323817668594838,-0.19900379110134986,0.03145911382381765,0.002313560564797229,0.027036171246367726
0.285,0.9348784296842052,-0.0012312957161425904,-0.1920821317182441,-0.20751161672762428,0.03140242180437986,0.0023564422020386465,0.02703636254623146
0.29,0.9319677955113309,-0.0012831850760649736,-0.20017687186613584,-0.21508031408233885,0.03135053244445748,0.0024034729508263628,0.027049213795484146
0.295,0.9289655178660698,-0.0013410465952910361,-0.20920326886540155,-0.22345423620693505,0.031292670925231414,0.0024494641925427428,0.027057071560859684
0.3,0.9258746112062686,-0.001400084750128742,-0.21841322102008395,-0.23249596285225307,0.031233632770393704,0.0024963103391773345,0.027061781734031214
