model,lambda,max_corr,delta_mean,delta_end,delta_min,corr_mean,bmc_mean,payout_mean
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.4,0.8510792652174891,-0.0033049151926107566,-0.5155667700472784,-0.5288598718626338,0.029328802327911692,0.0027616131099629337,0.02579364422718114
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.5,0.7450908613765659,-0.005221833828762649,-0.8146060772869735,-0.8191570350220557,0.027411883691759797,0.003630579785342015,0.025178503491122165
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.75,0.40753628508088835,-0.011910465107156737,-1.8580325567164506,-1.8652470023946601,0.020723252413365707,0.005250897316826274,0.02204541808360016
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,1.0,0.11092341479198743,-0.02172220434796835,-3.388663878283063,-3.3968912203782704,0.010911513172554102,0.006195221200891645,0.017797636421088583
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.01,0.9999581336974578,-3.311471899359485e-05,-0.005165896163000798,-0.014561911606143783,0.032600602801528863,1.0456759451645924e-05,0.024329207456987117
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.02,0.9998305730188741,-6.486090838057734e-05,-0.010118301707370062,-0.021340021635794026,0.032568856612141865,1.990402129123276e-05,0.024319556951120053
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.03,0.9996143475848928,-9.406363297533832e-05,-0.014673926744152781,-0.02538717511613174,0.03253965388754711,3.59184339952932e-05,0.024334961831787395
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.04,0.9993064530784261,-0.00013850952320323297,-0.02160748561970434,-0.03127268280315813,0.03249520799731921,4.629992582663972e-05,0.024324874181437552
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.05,0.9989038553254326,-0.00017547239027791172,-0.02737369288335422,-0.03800601900231549,0.032458245130244534,5.981780129128575e-05,0.024330067259741395
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.06,0.9984034947416168,-0.00021412263866738883,-0.03340313163211262,-0.04366080883316798,0.03241959488185506,7.42926163233746e-05,0.02433601894831227
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.08,0.9970971490002876,-0.00030970834443212584,-0.048314501731411635,-0.06006631419523267,0.032324009176090324,9.44241748486416e-05,0.024316861928374286
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.1,0.9953628901527012,-0.00040513232651230384,-0.06320064293591941,-0.07437987501238402,0.03222858519401014,0.00012191559980796935,0.024317004474427365
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.12,0.993176007569766,-0.0005248522394077718,-0.0818769493476125,-0.0928560305889797,0.03210886528111468,0.00014685183281822135,0.024293344883075937
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.15,0.9889932654833035,-0.000694565864933475,-0.10835227492962209,-0.11971707123962314,0.03193915165558897,0.00019477991137268927,0.024272580792216114
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.2,0.9794178361101463,-0.0010474298734224508,-0.16339906025390236,-0.17187426499661937,0.03158628764709999,0.0002723315129205677,0.024075448702931126
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.25,0.966291111047698,-0.0014968888068190092,-0.23351465386376538,-0.23647303953844068,0.031136828713703435,0.00033877091017658185,0.02368065790769067
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.3,0.9493277230636117,-0.002027433338357974,-0.3162796007838439,-0.3162796007838439,0.030606284182164475,0.0004027480384332945,0.023184689989190516
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.4,0.9032303928102152,-0.003233793821780906,-0.5044718361978213,-0.5044718361978213,0.029399923698741545,0.0005867979384270276,0.022158477755614348
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.5,0.8411106307695441,-0.00471650700300579,-0.7357750924689033,-0.7357750924689033,0.02791721051751666,0.0008003665000460141,0.020993757638017904
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,0.75,0.635190208696006,-0.009549205847749783,-1.4896761122489657,-1.4896761122489657,0.023084511672772666,0.0012559610104592074,0.01726807857005782
xgb_strict_direct_medfaith64_full_d5lr3e2_walkfwd,1.0,0.41493418609243055,-0.017412317034017414,-2.7163214573067163,-2.7163214573067163,0.015221400486505034,0.001523123129368524,0.011385479855410422
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.01,0.9999498844845934,-9.381950566628962e-06,-0.0014635842883941206,-0.00829982264136816,0.03262433556995582,4.5521913938163654e-05,0.0244128279270578
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.02,0.9997959515725563,-3.671593560104521e-05,-0.005727685953763049,-0.011402755049286815,0.0325970015849214,8.591886341981817e-05,0.024471795937920815
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.03,0.9995326773002134,-8.745347197462903e-05,-0.013642741628042129,-0.017680219699066232,0.032546264048547824,0.00012392291821738111,0.024512082074883913
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.04,0.9991543453633154,-0.00013096999246714838,-0.02043131882487515,-0.023994755027441222,0.0325027475280553,0.00016740826618975163,0.024573224601222545
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.05,0.9986550481769831,-0.00016471567289150972,-0.025695644971075512,-0.027991635716671584,0.03246900184763094,0.00021651730256521686,0.024651635772387256
